nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Bakmi Gang Kelinci,"Mutiara Taman Palem, Jl. Lingkar Luar Barat A.18/2-3",Kenny Sukiman,Kenny Sukiman,Jakarta Barat,021 6192288,021 6192288,Restoran,5/20/B
Bakmi Gm,"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2",PT. Griya Miesejati,Peily Dian Lie,Jakarta Barat,021 56699328,021 56699329,Restoran,35/140/A
Bakmi Gm,"Jl. Gajah Mada No. 92, Krukut",PT. Griya Miesejati,Peily Dian Lie,Jakarta Barat,021 6334689,021 6334689,Restoran,30/120/A
Bakmi Gm,"Mal Puri Indah, Jl. Puri Agung Raya",PT. Graha Murni Rasa,Ferdy Pattiasina,Jakarta Barat,021 5822406,021 5655001,Restoran,40/160/A
Bakmi Gm,"Citra Garden City, Citra 6 Blok LA",PT. Griya Miesejati,Peily Dian Lie,Jakarta Barat,021 5655008,021 5655001,Restoran,30/120/A
Bakmi Mangga Besar Viii,Jl. Mangga Besar VIII/12,Ruslim Limawal,Ruslim Limawal,Jakarta Barat,,,Restoran,10/60/A
Bakso Malang,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Champ Resto Indonesia,"Drs. Yunus Ciptawilangga, MBA",Jakarta Barat,021 5639542,021 5639354,Restoran,20/60/A
Bakso Malang Karapitan,"Mal Ciputra, Jl. Tanjung Duren Barat",PT. Champ Resto Indonesia,Yunus Ciptawilangga,Jakarta Barat,,,Restoran,12/50/B
Bar B.Q Plaza,"Mal Puri Indah, Jl. Puri Indah Raya",PT. The Barbecue Plaza,Kelvin Danieli Suhendra,Jakarta Barat,,,Restoran,15/50/B
Baso Malang Karapitan,"Plaza Slipi Jaya, Jl. Letjen.S.Parman Lt. 1 Kav. 1",PT. Champ Resto Indonesia,Ali Gunawan Budiman,Jakarta Barat,021 7996703,,Restoran,30/80/A
Beanstro,"Puri Indah Mall, Jl. Puri Agung",PT. Trans Coffee,Fransiscus Sumampow,Jakarta Barat,,,Restoran,10/40/B
