nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Pancious Pancake House,Jl. Asia Afrika Lot. 19,PT. Pancious Tirta Jaya,Fredy Tjong,Jakarta Pusat,,,Restoran,20/100/A
Pancious Pancake House,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",PT. Pancious Tirta Jaya,Fredy Tjong,Jakarta Pusat,021 7990012,021 7990012,Restoran,20/80/A
Pandan Village,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30 L3",PT. FG. Resto,David Hartono,Jakarta Pusat,021 3107272,021 3107644,Restoran,12/48/B
Paparon's Pizza,"Apartemen Park Royale, Jl. Jend. Gatot Subroto Kav. 35",PT. Eatertainment Indonesia,Oktobriana,Jakarta Pusat,021 91265917,021 91265917,Restoran,20/70/A
Paparon's Pizza,Jl. Gajah Mada Lt. Dasar No. 17-19,PT. Citra Boga Lestari,R. Prihandono Imam S.,Jakarta Pusat,021 63872132,021 63872134,Restoran,22/86/A
Paradise Dynasti,"Senayan Square, Jl. Asia Afrika No. 8",PT. Boga Makmur Dinasti,Kusnadi Rahardja,Jakarta Pusat,021 7235408,021 7235141,Restoran,20/80/A
Paradise Dynasty,"Plaza Senayan Lt. 5, Jl. Asia Afrika No. 8",PT. Boga Makmur Dinasti,Kusnadi Rahardja,Jakarta Pusat,021 7235408,021 7235141,Restoran,20/80/A
Paradise Inn,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",PT. Boga Makmur Intipangan,Kusnadi Rahardja,Jakarta Pusat,021 7235408,021 7235141,Restoran,20/80/A
Paramount,Jl. RP.  Soeroso No. 35,Joy Alamsjah,Joy Alamsjah,Jakarta Pusat,021 31923111,021 3151872,Restoran,20/151/A
Paregu,Jl. KH. Wahid Hasyim No. 41,PT. Mercucakra Windu,Arief Prijatna,Jakarta Pusat,021 3915456,021 7238942,Restoran,15/120/A
Pasta De Waraku,Jl. MH.Thamrin No. 1,PT.Wamaya Jaya,Brian Ivan Sutanto,Jakarta Pusat,021 23580916,021 23580916,Restoran,14/60/A
Pelangi,Jl. KH.Wahid Hasyim No. 108,,Barry Kurt,Jakarta Pusat,,,Restoran,15/50/B
Penang Bistro,Jl. Kebon Sirih No. 59,PT. Arena Gourmet,Michael Sofian Utomo,Jakarta Pusat,021 31906000,021 7260052,Restoran,30/250/A
Penang Bistro,"Grand Indonesia, Jl. MH. Thamrin No. 1 Unit",PT. Arena Gourmet,Michael Sofian Utomo,Jakarta Pusat,021 7260052,021 7260150,Restoran,18/96/A
Penang Eatery,"FX Lifestyle Xnter, Jl. Jend.Sudirman, Pintu I Senayan",PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Pusat,021 25554600,021 25554601,Restoran,22/50/B
Pepper Lunch,"FX Lifestyle Xnter Unit F2 # 07 Ot 07, Jl. Jend. Sudirman",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Pusat,021 7235408,021 7235141,Restoran,33/66/A
Pepper Lunch,"Jl. MH. Thamrin Kav. 28-30, Plaza Indonesia",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Pusat,021 3107621,021 3107622,Restoran,54/108/A
Pepper Lunch,"Senayan Square Complex, Jl. Asia Afrika No. 8",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Pusat,021 5725550,021 5725550,Restoran,44/88/A
Pepper Lunch,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Pusat,021 3107621,021 3107622,Restoran,54/108/A
Pepper Lunch,"Mall Senayan City Lt. 5, Jl. Asia Afrika Lot. 19",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Pusat,,,Restoran,10/40/B
Pepper Lunch,Jl. Asia Afrika,PT.Boga Makmur Prima,Kusnadi Rahardja,Jakarta Pusat,021 5725550,021 5725550,Restoran,10/40/B
Pesto Autentico,"ANZ Square Podium Lt.Upper Ground, Jl. MH. Thamrin",PT. Sahabat Prima Inti Niaga,Alvin Gozali,Jakarta Pusat,021 29937230,,Restoran,36/160/A
Phi Suki,Jl. MH. Thamrin No. 1,PT. Atrika Mizzatama,Winardi Hendrayanta,Jakarta Pusat,021 23580189,021 23580189,Restoran,10/40/B
Phloey,"Panin Bank Center, Jl. Jend. Sudirman Kav. 11",PT. Aneka Citra Laut,Andreas Yuwono,Jakarta Pusat,021 7394018,021 7261570,Restoran,28/125/A
Pho 2000,Jl. Asia Afrika Lot. 19,Lilia Dian Puspita Prananto,Lilia Dian Puspita Prananto,Jakarta Pusat,021 72781500,021 72781500,Restoran,8/34/C
Phoenam,Jl. KH. Wahid Hasyim No. 88,PT. Ibec Indonesia Ltd,Albert L,Jakarta Pusat,021 31924369,021 31924369,Restoran,4/12/C
Pisa Ice Cream,Jl. Gereja Theresia No. 1,PT. Boga Rahardjo Utama,Yerry Eka Nugraha,Jakarta Pusat,021 3100149,021 3152729,Restoran,30/120/A
Pizza Bar,Jl. MH.Thamrin No. 1,PT.Mitra Cipta Kreasi,Christianto Kesuma,Jakarta Pusat,021 23580929,,Restoran,9/36/B
Pizza E Birra,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28-30",PT. Kharisma Birra Sejahtera,Christian Rijanto,Jakarta Pusat,021 3107272,021 3107644,Restoran,10/50/B
Pizza Hut,"Golden Truly, Jl. Gunung Sahari No. 59",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 5706200,021 5706200,Restoran,11/132/A
Pizza Hut,"ITC Roxy, Jl. KH. Hasyim Ashari",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,30/80/A
Pizza Hut,"Menara Cakrawala, Jl. MH. Thamrin No. 9",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,33/56/A
Pizza Hut,"Mal Mangga Dua, Jl. Arteri Mangga Dua No. 47",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 6126133,021 6126134,Restoran,30/68/A
Pizza Hut,"Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,50/140/A
Pizza Hut,"Plaza Gajah Mada, Jl. Gajah Mada No. 19-26",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,30/118/A
Pizza Hut,Jl. MH. Thamrin Kav. 13,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,29/78/A
Pizza Hut,Jl. Ir. Juanda Raya No. 13 RT010/RW004,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,103/206/A
Pizza Hut,Jl. Cempaka Putih Raya No. 145,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,23/70/A
Pizza Hut,"Komp. Segitiga Senen, Jl. Senen Raya No. 135",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 3459836,,Restoran,38/92/A
Pizza Hut,Jl. Asia Afrika No. 8,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,15/40/B
Pizza Hut,Jl. Asia Afrika Lot. 19,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 72781404,021 72781405,Restoran,30/130/A
Pizza Hut,"ITC Cempaka Mas, Jl. Letjen. Suprapto",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,15/60/A
Pizza Hut,Jl. Asia Afrika No. 8,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,15/40/B
Pizza Hut,Jl. Bendungan Hilir Raya No. 31,PT.Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,10/50/B
Pizza Hut,Jl. Ir. Juanda Raya No. 13 RT010/RW004,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,103/206/A
Pizza Hut  Delivery,Jl. Pintu Air Raya No. 58-64,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,30/44/B
Pizza Hut Delivery,Jl. Bendungan Hilir Raya No. 104,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,4/12/C
Pizza Hut Delivery ( Phd ),Jl. Cempaka Putih Raya Blok C No. 23D,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,4/12/C
Pizza Hut Delivery ( Phd ),Jl. Kebon Kacang Raya,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,4/12/C
Pizza Hut Delivery ( Phd ),"Thamrin Residence, Jl. Kebon Kacang Raya",PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,,,Restoran,4/12/C
Pizza Hut Delivery (Phd),Jl. KH. Hasyim Ashari No. 27 RT004/RW005,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306664,Restoran,5/15/C
Pizza Hut Delivery (Phd),Jl. Cikini Raya No. 81A,PT. Sarimelati Kencana,Carolina Susanty,Jakarta Pusat,021 8306789,021 8306790,Restoran,6/19/C
Pizza Marzano,"Senayan City Mal, Jl. Asia Afrika Lot. 19",PT. Sari Pizza Indonesia,Indrawana Widjaja,Jakarta Pusat,021 72781065,021 72781066,Restoran,20/50/B
Pizza Marzano,"Foodhall Grand Indonesia, Jl. MH. Thamrin No. 1",PT. Sari Pizza Indonesia,Jusroni,Jakarta Pusat,021 5746501,021 5746189,Restoran,15/60/A
Pizza Marzano,Jl. Asia Afrika Lot. 19,PT. Sari Pizza Indonesia,Indrawana Widjaja,Jakarta Pusat,021 72781065,021 72781066,Restoran,20/50/B
Pizza Marzano,"City Lofts, Jl. KH.Mas Mansyur No. 121",PT. Sari Pizza Indonesia,Indrawana Widjaja,Jakarta Pusat,,,Restoran,33/79/A
Pizza Marzano,"City Lofts, Jl. KH.Mas Mansyur No. 121",PT. Sari Pizza Indonesia,Indrawana Widjaja,Jakarta Pusat,,,Restoran,33/79/A
Platinum,"Plaza Gajah Mada, Jl. Gajah Mada No. 19-26",PT. Champ Resto Indonesia,Ali Gunawan Budiman,Jakarta Pusat,021 021-1408,,Restoran,10/40/B
Platinum,"Atrium Plaza, Jl. Senen Raya No. 135",PT. Champ Resto Indonesia,"Drs. Yunus Ciptawilangga, MBA",Jakarta Pusat,021 39918587,021 39918587,Restoran,15/60/A
Poke Sushi,"Grand Indonesia, Jl. MH.Thamrin No. 1",PT. Wahana Sapta Karya,Donny Halim,Jakarta Pusat,,,Restoran,5/20/B
Polo Club Jakarta,Jl. KH.Mas Mansyur Kav. 124,PT. Graha Buana Cikarang,Ninik Triwahyuni,Jakarta Pusat,021 5723767,021 5723767,Restoran,14/60/A
Polo Lounge,"Menara Batavia Lt. 2, Jl. KH. Mas Mansyur Kav. 1",PT. Mahameru Adiceria,Budhy Kurniawan Ratulangi,Jakarta Pusat,021 5723767,021 5723767,Restoran,15/50/B
Pondok Angkasa,Jl. Angkasa Raya No. 32,,Judy Tjahaya,Jakarta Pusat,,,Restoran,10/40/B
Pondok Djaja,Jl. Hayam Wuruk No. 11,Lani Widjaja,Lani Widjaja,Jakarta Pusat,021 3506182,021 3506182,Restoran,10/36/B
Pondok Iga,"Mal Senayan City, Jl. Asia Afrika Lot. 19",PT. Pondok Iga,Petty Suwito,Jakarta Pusat,,,Restoran,10/50/B
Pondok Sedap Malam,Jl. Batu Tulis No. 9 RT003/RW002,,Sujanto Ciputra,Jakarta Pusat,021 3520509,021 3520509,Restoran,10/50/B
Pondok Suryo,Jl. Kebon Sirih Timur Dalam No. 23,,Andriani Kusuma Astuti,Jakarta Pusat,,,Restoran,14/50/B
Pondok Suryo,Jl. Kebon Sirih Timur Dalam No. 23,,Andriani Kusuma Astuti,Jakarta Pusat,,,Restoran,14/50/B
Popolamama,"Grand Indonesia Bridge Level 3A, Jl. MH. Thamrin No. 1",PT. Indofood Comsa Sukses Makmur,Farah Milda,Jakarta Pusat,,,Restoran,16/60/A
Portico,"Senayan City, Jl. Asia Afrika Lot. 19",PT. Mitra Karya Manajemen,Bona Budhi Surya,Jakarta Pusat,,,Restoran,20/80/A
Prive,"FX Lifestyle Xnter, Jl. Jend. Sudirman Pintu I Senayan",PT. Prima Vektor,Lili Abadi,Jakarta Pusat,021 25558758,021 25558758,Restoran,14/50/B
Puang Oca,Jl. Arteri Lapangan Tembak Senayan RT002/RW002,PT. Kreasi Kuliner Kamadjaja,John Eric Kamadjaja,Jakarta Pusat,,,Restoran,20/60/A
Pulau Dua,"Taman Ria Senayan, Jl. Jend. Gatot Subroto",PT. Mitraindotama Karsajaya,Aminullah Gunawan,Jakarta Pusat,021 5731435,021 5708906,Restoran,25/100/A
Queen's Tandoor,"Plaza Permata Lt. Basement, Jl. MH. Thamrin No. 57 ",CV. Ratu,Ramesh Kundanmal Shamdasani,Jakarta Pusat,,,Restoran,13/72/A
Queen's Tandoor,"Plaza Permata, Jl. MH. Thamrin No. 57",PT. Ratu Mahkota,Ramesh Kundanmal Shamdasani,Jakarta Pusat,021 3903287,021 3903286,Restoran,13/72/A
Ragusa Es Italiana,Jl. Veteran I No. 10,Buntoro Kurniawan,Buntoro Kurniawan,Jakarta Pusat,021 38491223,021 38491223,Restoran,18/72/A
Rakumen,"Mal Senayan City, Jl. Asia Afrika Lot. 19 L-76",PT. Rakumen Berkat Gemilang,Denny Haryono,Jakarta Pusat,021 72782136,021 72782136,Restoran,20/40/B
Ramen Santouka,"Plaza Indonesia, Jl. MH. Thamrin Kav. 28 - 30",PT. Umami Foods,Albert Wijaya,Jakarta Pusat,,,Restoran,15/50/B
Rawa Sha,Jl. Cempaka Putih Barat XXVI,PT.JAKARTA TOURISINDO,Drs.Idris Sasmita,Jakarta Pusat,,,Restoran,50/200/A
Rawon Setan,Jl.Mangga Besar Raya No. 100,,Darsono Wonowibowo,Jakarta Pusat,021 62283330,,Restoran,15/35/B
Rawon Setan,Jl. Mangga Besar Raya No. 100A,Koperasi Pengayoman Pegawai Depa,"H. Erwin Azis, SH. MH",Jakarta Pusat,021 62203338,021 62203338,Restoran,12/48/B
Red Square,"Plaza Senayan, Jl. New Delhi No. 9",PT. Segiempat Merah Prima,Hari Setiawan,Jakarta Pusat,021 57901281,021 57901286,Restoran,9/59/A
Red Tomato,"Plaza Indonesia, Jl. MH.Thamrin Kav. 28 - 30",PT. Global Fusion,Jeannie Widjaja,Jakarta Pusat,021 31900386,021 3926017,Restoran,24/48/B
Remboelan,"Plaza Senayan Lt. 401A 401B, Jl. Asia Afrika No. 8",PT. Karunia Kuliner Indonesia,Sonny Kurniawan,Jakarta Pusat,021 7235408,021 7235141,Restoran,35/138/A
Rendezvous,Jl. Johar No. 2 B-C,Lukman Effendi,Lukman Effendi,Jakarta Pusat,021 31923784,021 31923784,Restoran,27/108/A
Resto Eric Kayser,"Plaza Senayan, Jl. New Delhi No. 9, Pintu I Senayan",PT. Kayserindo Kuliner Jakarta,Sigit Nugroho,Jakarta Pusat,,,Restoran,32/70/A
Restoran Miramar,Jl. Batu Tulis Raya No. 52,-,Sutiono,Jakarta Pusat,,,Restoran,10/50/B
Restoran Plaza Indonesia Xxi,"Plaza Indonesia Xenter, Jl. MH. Thamrin Kav. 28",PT. Sekar Sari Dana,Harris Lasmana,Jakarta Pusat,021 39838779,021 39838779,Restoran,6/16/C
Restoran Sulaiman,Jl. Batu Ceper No. 73,PT. Chinese Moslem Culinary,Han Yuzhou,Jakarta Pusat,,,Restoran,30/120/A
Rica Rica,Jl. Ir. Juanda III No. 22A,,Lesca Terlly Libraveda H,Jakarta Pusat,021 37564195,,Restoran,8/32/B
Rice Bowl,"Ratu Plaza, Jl. Jend. Sudirman No. 9",,Marhayurini,Jakarta Pusat,021 7501125,021 7501125,Restoran,27/100/A
Rice Bowl,Jl. Letjend. Suprapto Lt.5 No. 158,PT. Rice Bowl Indonesia,Fenny Megalia Handoko,Jakarta Pusat,,,Restoran,12/40/B
Rice Bowl,"Atrium Plaza, Jl. Senen Raya No. 135",PT. Rice Bowl Indonesia,Fenny Megalia Handoko,Jakarta Pusat,,,Restoran,15/50/B
Rice Bowl,"ITC Cempaka Mas, Jl. Letjend. Suprapto Lt. 5",PT. Rice Bowl Indonesia,Fenny Megalia Handoko,Jakarta Pusat,,,Restoran,12/40/B
Rice Bowl,"Plaza Indonesia X'enter, Jl. MH. Thamrin Kav. 13",PT. Rice Bowl Indonesia,Fenny Megalia Handoko,Jakarta Pusat,,,Restoran,13/43/B
Rice Bowl Dan Mister Baso,Ruko Duta Merlin Blok B 53 - 54,PT. Koki Makmur Sejahtera,Shirley Suwantina,Jakarta Pusat,,,Restoran,10/40/B
Riung Sunda,Jl. Cikini Raya No. 75,CV. Riung Sunda,Raymond Mersel Gontani,Jakarta Pusat,021 3145189,021 3144618,Restoran,20/85/A
Rive Gauche,Jl. Veteran I No. 21 - 22,PD. Resto Rive Gauche,Harsana Gandasaputra,Jakarta Pusat,021 34831459,021 34831459,Restoran,18/70/A
Roca,Jl. Sunda No. 3 RT008/RW004,PT. Altar Filadelfia,Erastus Pramudita Radjimin,Jakarta Pusat,021 31925888,021 31925999,Restoran,35/80/A
Roemah Rempah,Jl. Asia Afrika No. 8,Perorangan,Suhartono Tjondrosuharto,Jakarta Pusat,021 5725813,021 5725805,Restoran,20/80/A
Roemah Sereh,Jl. Abdul Muis No. 24-26,PT. Pesona Boga Sari,Sybilla Enova M.Hardikusumo,Jakarta Pusat,,,Restoran,30/200/A
Roti Bodo,"Thamrin City, Jl. Thamrin Boulevard",PT. Bocuan Gapapa,Sumijati Sugeng,Jakarta Pusat,,,Restoran,5/20/B
Rustique,"Plaza Senayan Lt. 4 Unit CP413, Jl. Asia Afrika No. 8",PT.Lucky Abadi Kulinerindo,Haryadi Ridwan,Jakarta Pusat,021 57852760,021 57852760,Restoran,15/50/B
Rych Menu Restoran,"Gd. Menara Merdeka GF-05, Jl. Budi Kemuliaan",PT. Royal Cuisine Indonesia,Harsono Tjandra,Jakarta Pusat,021 5707125,021 5707126,Restoran,40/180/A
Sabana Bundo Sati,Jl. Suryopranoto Blok E/12,H. Anwar St. Rajo Nan Sati,H. Anwar St. Rajo Nan Sati,Jakarta Pusat,021 6311531,021 6311531,Restoran,20/45/B
Sabana Bundo Sati,Jl. Ir. Juanda No. 1,H. Anwar St. Rajo Nan Sati,H. Anwar St. Rajo Nan Sati,Jakarta Pusat,021 3842784,021 3842784,Restoran,20/100/A
Sabana Bundo Sati,Jl. Kwitang Raya No. K 30 RT001/RW004,H. Anwar St. Rajo Nan Sati,H. Anwar St. Rajo Nan Sati,Jakarta Pusat,021 3483408,021 3483408,Restoran,20/80/A
Sagami,Plaza Senayan Foodcourt Lantai 3 Unit No. 329,PT. Gobel Dharma Sarana Karya,Supantari Kalingga Mitra Kosasih,Jakarta Pusat,021 57905381,,Restoran,30/120/A
Sahid Ah Yat Seafood,"Hotel Sahid Jaya, Jl. Jend. Sudirman 86",PT. Unique Seafood Market,Agus Intojo,Jakarta Pusat,,,Restoran,12/44/B
Saint Louis Lounge,"Plaza Indonesia, Jl. MH. Thamrin 28 - 30",PT. Allegro Presentia,Nany Makmur,Jakarta Pusat,,,Restoran,13/50/B
Sakana,"Mid Plaza, Jl. Jend. Sudirman Kav. 10-11",PT. Cipta Prima Jaya,Dadi Sunardi,Jakarta Pusat,021 5746452,021 5706200,Restoran,25/100/A
Salt Grill,"The Plaza Lantai 46, Jl. MH. Thamrin Kav. 28-30",PT. Intercontinental Culinary,Henky Rusli,Jakarta Pusat,,,Restoran,15/50/B
Samara,Jl. Kebon Sirih No. 77,Lucienne Kristi Anhar,Lucienne Kristi Anhar,Jakarta Pusat,021 3920384,021 3918690,Restoran,10/40/B
Samara,Jl. Kebon Sirih No. 77,Lucienne Kristi Anhar,Lucienne Kristi Anhar,Jakarta Pusat,021 3920384,021 3918690,Restoran,10/40/B
Santung,"Pasar Baru, Jl. Antara No. 31",,Sri Puspita Dewi Pranaja,Jakarta Pusat,021 3520169,021 3520169,Restoran,15/60/A
Sanur,Jl. Ir. Juanda III/131 - J,-,Handoko Tjahyono,Jakarta Pusat,021 3865654,021 3865654,Restoran,20/120/A
Sanur Mangga Dua,Jl. Mangga Dua Abdad No. 45,PT. Sanur Mangga Dua,Srirahayu Atmodjo,Jakarta Pusat,021 6590880,021 6285779,Restoran,30/225/A
Sanur Mangga Dua,Jl. Mangga Dua Abdad No. 45,PT. Sanur Mangga Dua,Srirahayu Atmodjo,Jakarta Pusat,021 6590880,021 6285779,Restoran,30/225/A
Sari Bundo,Jl. Raden Saleh Raya No. 39,Ramsuez Sutan,Ramsuez Sutan,Jakarta Pusat,021 3140078,021 3140078,Restoran,25/50/B
Sari Bundo,Jl. Raden Saleh Raya No. 39,Ramsuez Sutan,Ramsuez Sutan,Jakarta Pusat,021 3140078,021 3140078,Restoran,25/50/B
Sari Bundo,"Jl. Ir. Juanda No. 27, Gambir",PT. Juanda Sari Bundo,H. Rahimi Sutan,Jakarta Pusat,021 3458343,021 3842711,Restoran,16/60/A
Sari Bundo,Jl. KS. Tubun No. 63 RT012/RW003,Remsuez Sutan,Remsuez Sutan,Jakarta Pusat,021 53679723,021 53679760,Restoran,25/100/A
Sari Ratu,Jl. MH. Thamrin Kav. 28-30,Auwines,Auwines,Jakarta Pusat,021 322908,021 3107644,Restoran,17/68/A
Sate Khas Senayan,Jl. Kebon Sirih No. 31A,CV. Sari Rasa Nusantara,Ivonne Hadisurjo,Jakarta Pusat,021 31926238,021 3910186,Restoran,25/100/A
Sate Khas Senayan,"Mal Senayan City, Jl. Asia Afrika Lot. 19, Food Court",CV. Sari Rasa Nusantara,Benny Hadisurjo,Jakarta Pusat,021 72781461,021 72781461,Restoran,8/24/B
Sate Khas Senayan,Jl. Tanah Abang II/76,CV. Sari Rasa Nusantara,Ivonne Hadisurjo,Jakarta Pusat,021 34832308,021 34832309,Restoran,15/60/A
Sate Khas Senayan,"FX Lifestyle X'nter, Jl. Jend. Sudirman",CV. Sari Rasa Nusantara,Benny Hadisurjo,Jakarta Pusat,021 25554150,021 25554150,Restoran,20/52/A
Sate Khas Senayan,Jl. HOS. Cokroaminoto No. 76,CV. Sari Rasa Nusantara,Ivonne Hadisurjo,Jakarta Pusat,021 3928763,021 3928763,Restoran,30/120/A
Sate Khas Senayan,"Plaza Senayan, Jl. Asia Afrika No. 8",CV. Sari Rasa Nusantara,Ivonne Hadisujo,Jakarta Pusat,021 5725358,021 5725328,Restoran,20/40/B
Sate Khas Senayan,Grand Indonesia Skybrige Unit SB-3-1-1,CV. Sari Rasa Nusantara,Benny Hadisurjo,Jakarta Pusat,021 23580939,021 23580939,Restoran,26/65/A
Sate Khas Senayan,"Gd. Citywalk Sudirman Unit GF # 20, Jl. KH. Mas Mansyur",CV. Sari Rasa Nusantara,Benny Hadisurjo,Jakarta Pusat,021 25556671,021 25556671,Restoran,20/52/A
Sate Khas Senayan,"Plaza Senayan, Jl. Asia Afrika No. 8",CV. Sari Rasa Nusantara,Benny Hadisurjo,Jakarta Pusat,021 5725358,021 5725328,Restoran,20/40/B
Sate Khas Senayan,Jl. Salemba Raya No. 57-59,CV. Sari Rasa Nusantara,Ivonne Hadisurjo,Jakarta Pusat,021 3926279,021 3926280,Restoran,31/124/A
Sate Khas Senayan,Jl. New Delhi No. 8 P4 Unit CP 411,CV. Sari Rasa Nusantara,Ivonne Hadisurjo,Jakarta Pusat,021 45859080,021 45859080,Restoran,15/40/B
Saung Grenvil,Jl. KH. Wahid Hasyim No. 87,PT. Cemara Resto,Tio Maruli Johan,Jakarta Pusat,,,Restoran,10/40/B
Saung Grenvil,Jl. KH. Wahid Hasyim No. 87,PT. Cemara Resto,Tio Maruli Johan,Jakarta Pusat,,,Restoran,10/40/B
Secret Recipe,Jl. MH. Thamrin Kav. 28 - 30,PT. Secret Recipe Indonesia,Rina Dewi,Jakarta Pusat,021 31936116,021 31936116,Restoran,15/72/A
Secret Recipe,"Mal Senayan City, Jl. Asia Afrika",PT. Secret Recipe Indonesia,Rina Dewi,Jakarta Pusat,021 72781277,021 72781788,Restoran,10/35/B
Sederhana,Jl. Pecenongan No. 3 BCD RT003/RW003,PT. Sederhana Abadanmitra,Rahmat,Jakarta Pusat,,,Restoran,40/160/A
Sederhana,Jl. Raden Saleh No. 29,,Drs. Abdullah Muthalib,Jakarta Pusat,021 3914658,021 3914683,Restoran,15/60/A
Sederhana,Jl. Pecenongan No. 3 BCD RT003/RW003,PT. Sederhana Abadanmitra,Rahmat,Jakarta Pusat,,,Restoran,40/160/A
Sederhana,"Jl. Agus Salim No. 35A, Kebon Sirih",,Havis Bsc,Jakarta Pusat,021 31924962,021 3194964,Restoran,20/80/A
Sederhana,Jl. Raden Saleh No. 29,,Drs. Abdullah Muthalib,Jakarta Pusat,021 3914658,021 3914683,Restoran,15/60/A
Sederhana Benhil,Jl. Bendungan Hilir Raya No. 1,Sujarmanto,Sujarmanto,Jakarta Pusat,021 5712741,021 5712741,Restoran,10/40/B
Segafredo,Jl. Jend. Sudirman Pintu I,PT.Aroma Moka Nusantara,Monica Tian,Jakarta Pusat,021 25554089,,Restoran,10/40/B
Segafredo Zanetti,Jl. MH. Thamrin Kav. 28-30,PT. Aroma Moka Nusantara,Monica Tian,Jakarta Pusat,021 3150279,021 3150279,Restoran,17/42/B
Seleraku,Jl. KH. Mas.Mansyur No. 4,Andrik Tanuwijaya,Andrik Tanuwijaya,Jakarta Pusat,021 5735239,021 5735239,Restoran,10/40/B
Sentral Al Jazeerah,Jl. Pramuka Raya No. C 23 RT002/RW004,PT. Sentral Al Jazeerah,Syehan Jindan,Jakarta Pusat,,,Restoran,80/200/A
Seribu Rasa,Jl. KH. Agus Salim No. 128,PT. Arena Gourmet,Wiyanto Alamsyah,Jakarta Pusat,021 3928892,021 3928892,Restoran,40/120/A
Seroeni,"Plaza Senayan Lt.3 Unit 338B, 340B, 342B, 346",PT. Lavali International Food Empire,Sandjaja Tjahajadiputra,Jakarta Pusat,021 5725187,021 5725187,Restoran,48/126/A
Seven Café,Jl. Salemba Raya No. 4,PT.tata Olah Primarasa,Danny Yuwono Siswanto,Jakarta Pusat,021 3903745,,Restoran,12/48/B
Shabu Shabu House,"Grand Indonesia East Mall, Jl. MH. Thamrin No. 1",PT. Fortuna Boga,Franky Siamir,Jakarta Pusat,021 31909002,021 31909002,Restoran,10/50/B
Shabu Shabu House,"Mal Senayan City, Jl. Asia Afrika Lot. 19 Lt. 48-49",PT. Shabu Shabu House,Franky Siamir,Jakarta Pusat,021 72781609,021 72781609,Restoran,10/40/B
Shabu Shabu House,Jl. Asia Afrika Lot. 19 Lt. 48-49,PT. Shabu Shabu House,Franky Siamir,Jakarta Pusat,021 72781609,021 72781609,Restoran,10/40/B
Shabu Shabu House,"Plaza Indonesia, Jl. MH. Thamrin Kav. 13 L1#98",PT. Shabu-Shabu House,Franky Siamir,Jakarta Pusat,021 31909002,,Restoran,10/34/B
Shanghai Blue 1920,Jl. Kebon Sirih No. 79,Melati Tanjungsari,Melati Tanjungsari,Jakarta Pusat,021 3918690,021 3918675,Restoran,15/50/B
Shanghai Blue 1920,Jl. Kebon Sirih No. 79,Melati Tanjungsari,Melati Tanjungsari,Jakarta Pusat,021 3918690,021 3918675,Restoran,15/50/B
Shanghai Garden,Jl. MH. Thamrin No. 10,PT. Alvons Mitra Jaya,Lim Tjui Len,Jakarta Pusat,,,Restoran,15/50/B
